,0,1,2
0,1999,0.8119925708770752,17.76616492922957
,0,1,2
0,3999,0.8525175703763962,19.839459781295645
,0,1,2
0,5999,0.8655399512946605,21.072815826958287
,0,1,2
0,7999,0.868023806989193,21.309553567632204
,0,1,2
0,9999,0.865070663779974,21.16784265826449
,0,1,2
0,11999,0.8705042956471443,21.544927696381556
,0,1,2
0,13999,0.8595026484727859,20.03707447468156
,0,1,2
0,15999,0.8792041587233543,21.881655743517186
,0,1,2
0,17999,0.8789060369729996,21.570663645426364
,0,1,2
0,19999,0.8764829959571362,21.69832449143054
,0,1,2
0,21999,0.8817797272205353,22.0900902637779
,0,1,2
0,23999,0.872243986427784,20.655413010433556
,0,1,2
0,25999,0.8817112911343574,21.83002497951532
,0,1,2
0,27999,0.8871423533260823,22.481406278813225
,0,1,2
0,29999,0.8854946473240852,22.24980869240872
,0,1,2
0,31999,0.8849448964595795,21.624865476492086
,0,1,2
0,33999,0.8866936139464379,22.032170215760264
,0,1,2
0,35999,0.8902967793345451,22.750470044139416
,0,1,2
0,37999,0.8857796688675881,22.27637705415872
,0,1,2
0,39999,0.8863415747582912,22.402817030993845
,0,1,2
0,41999,0.8903962267637253,22.673647915381373
,0,1,2
0,43999,0.8924706957936287,22.5481142394484
,0,1,2
0,45999,0.8919572541117669,22.31424193902116
,0,1,2
0,47999,0.8859390404820442,22.443924127431806
,0,1,2
0,49999,0.892954483807087,22.771590620662984
,0,1,2
0,51999,0.8923579198122025,22.52241367877367
,0,1,2
0,53999,0.8913674218058586,22.860711834811436
,0,1,2
0,55999,0.8900950545072556,22.306350230198646
,0,1,2
0,57999,0.8959351251721382,22.75536392557082
,0,1,2
0,59999,0.8965049174427986,22.825347378405997
,0,1,2
0,61999,0.8942613624930382,22.787289753496356
,0,1,2
0,63999,0.8954783637523651,22.72389458378447
,0,1,2
0,65999,0.891918014883995,22.795823503185566
,0,1,2
0,67999,0.8962095265984535,22.96810444688113
,0,1,2
0,69999,0.8955194828510284,22.852365324296922
,0,1,2
0,71999,0.8967187553048134,23.081374981572175
,0,1,2
0,73999,0.8998982248306274,23.314058775405915
,0,1,2
0,75999,0.8988140596151352,23.124511721035145
,0,1,2
0,77999,0.8976328921318054,23.053475258441253
,0,1,2
0,79999,0.8945510230660438,22.45727741363511
,0,1,2
0,81999,0.8930882915258408,22.732254497932853
,0,1,2
0,83999,0.900901791870594,23.200000792238377
,0,1,2
0,85999,0.8946740642786026,23.099546666089868
,0,1,2
0,87999,0.8972918190956116,23.261477609618577
,0,1,2
0,89999,0.9006276724338531,23.12050484724286
,0,1,2
0,91999,0.9005617038607597,23.156342845280612
,0,1,2
0,93999,0.8973968014717102,22.934381356315715
,0,1,2
0,95999,0.9018549565076828,23.405323880900653
,0,1,2
0,97999,0.9009866636395455,23.225343489573074
,0,1,2
0,99999,0.8989580042362213,23.01569824319624
,0,1,2
0,101999,0.9020359676480293,23.237161309325877
,0,1,2
0,103999,0.9034462535381317,23.457775321580772
,0,1,2
0,105999,0.9001185728907585,23.2691966860995
,0,1,2
0,107999,0.8991966077685356,23.282767644337717
,0,1,2
0,109999,0.9015631681084633,23.178066748395917
,0,1,2
0,111999,0.9035828489661216,23.177948104277043
,0,1,2
0,113999,0.9047155837416649,23.284981575208146
,0,1,2
0,115999,0.9036854467988015,23.235006815145223
,0,1,2
0,117999,0.9015702397823334,23.310588325072697
,0,1,2
0,119999,0.9040681881308555,23.38450499851237
,0,1,2
0,121999,0.9025730695128441,23.249450501531207
,0,1,2
0,123999,0.9016926469802856,23.296762150403406
,0,1,2
0,125999,0.905532993555069,23.508177359662653
,0,1,2
0,127999,0.9048955472111702,23.503202508406375
,0,1,2
0,129999,0.9055989343523979,23.28717743952408
,0,1,2
0,131999,0.9057733442783356,23.482358715256094
,0,1,2
0,133999,0.9060351382493973,23.412669274877132
,0,1,2
0,135999,0.9071271228790283,23.45687810887199
,0,1,2
0,137999,0.9059909824132919,23.41958305442467
,0,1,2
0,139999,0.9068619502782822,23.677213406755495
,0,1,2
0,141999,0.9062421054840087,23.495295651636784
,0,1,2
0,143999,0.9052609484195709,23.60520283425873
,0,1,2
0,145999,0.905757613003254,23.747301940577383
,0,1,2
0,147999,0.9063983249664307,23.30522066309483
,0,1,2
0,149999,0.9078852136135102,23.428423879995645
,0,1,2
0,151999,0.9083624628186225,23.783378020131533
,0,1,2
0,153999,0.9096835590004921,23.849886147162188
,0,1,2
0,155999,0.909430537223816,23.684191293231954
,0,1,2
0,157999,0.9081350519061089,23.57927506782802
,0,1,2
0,159999,0.9100511502623558,23.77902981977538
,0,1,2
0,161999,0.9090194776058197,23.821016365512005
,0,1,2
0,163999,0.9093277716636657,23.77262163543594
,0,1,2
0,165999,0.9093342616558074,23.7399051266512
,0,1,2
0,167999,0.9087064775824547,23.771598700132074
,0,1,2
0,169999,0.9101326322555542,23.854512772618705
,0,1,2
0,171999,0.9101683875322342,23.859402037114222
,0,1,2
0,173999,0.9096264190077782,23.814023202269688
,0,1,2
0,175999,0.9095381844043732,23.890761718244242
,0,1,2
0,177999,0.9097192891836167,23.748517594020075
,0,1,2
0,179999,0.9098680206537246,23.89565511821805
,0,1,2
0,181999,0.9094335846900939,23.850336431911128
,0,1,2
0,183999,0.9105706366300583,23.86833110430893
,0,1,2
0,185999,0.9101108682751655,23.901102409322473
,0,1,2
0,187999,0.9101259503960609,23.87790462020483
,0,1,2
0,189999,0.9104133361577987,23.90188853596611
,0,1,2
0,191999,0.9102317095398903,23.89907709782236
,0,1,2
0,193999,0.9102614336013793,23.855394472575522
,0,1,2
0,195999,0.9102558174133301,23.874982549400503
,0,1,2
0,197999,0.9102851744890214,23.87710731251153
,0,1,2
0,199999,0.9102899978756904,23.877836151585253
,0,1,2
0,1999,0.8112889122962952,17.13710770942343
,0,1,2
0,1999,0.810058496594429,17.714841374595444
,0,1,2
0,3999,0.8560660825967789,20.551648749104963
